id,text,label,bucket
X0435,ladki ko [FSLUR_15] bol diya.,MGY,STRONG
X0120,Please unit tests add kar do pehle merge.,NOT,NOT
X0401,girls par [FSLUR_01] type comment aa gaya.,MGY,STRONG
X0134,Please unit tests add kar do pehle merge.,NOT,NOT
X0433,timeline me ladki ko [FSLUR_13] likh diya.,MGY,STRONG
X0084,Aaj office traffic bahut tha.,NOT,NOT
X0244,Weekend plans bana liye kya?,NOT,NOT
X0075,PR me comments resolve kar do.,NOT,NOT
X0300,Kal WFH rahega kya?,NOT,NOT
X0043,Kal standup kitne baje he?,NOT,NOT
X0467,ladkiyon ke liye [CTX_11] type ke lafz mat use kro.,MGY,CONTEXT
X0256,Aaj office traffic bahut tha.,NOT,NOT
X0089,Code review kal subah rakh.,NOT,NOT
X0432,mahila ne crop top pehna to [FSLUR_07] bol diye?,MGY,STRONG
X0451,ladkiyon ko [FSLUR_13] bol diya.,MGY,STRONG
X0379,Kisi aurat ko [FSLUR_11] kehna sahi nahi.,MGY,STRONG
X0121,Aaj office traffic bahut tha.,NOT,NOT
X0019,Laptop charge rehna chahiye meeting se pehle.,NOT,NOT
X0316,Please unit tests add kar do pehle merge.,NOT,NOT
X0059,Client call postpone ho gaya.,NOT,NOT
X0411,women ko [FSLUR_12] btate rehna बंद kro.,MGY,STRONG
X0137,PR me comments resolve kar do.,NOT,NOT
X0117,Aaj office traffic bahut tha.,NOT,NOT
X0257,Weather aaj badhiya tha.,NOT,NOT
X0317,Code review kal subah rakho.,NOT,NOT
X0210,Aaj ka mtch dekhoge?,NOT,NOT
X0029,Aaj ka match dekhge?,NOT,NOT
X0254,Weather aaj badhiya tha.,NOT,NOT
X0450,Kapdon ki wajah se ladki ko [CTX_11] kehna galat.,MGY,CONTEXT
X0426,girl ko [FSLUR_01] btate rehna बंद kro.,MGY,STRONG
X0093,Client call postpone ho gaya.,NOT,NOT
X0109,Aaj office traffic bahut tha.,NOT,NOT
X0017,Aaj ka match dekhoge?,NOT,NOT
X0304,Code review kal subah rakho.,NOT,NOT
X0346,Weather aaj badhiya tha.,NOT,NOT
X0363,Aaj ka match dekhoge?,NOT,NOT
X0488,ladki ne jeans pehna to [FSLUR_16] bol diye?,MGY,STRONG
X0493,Usne ladki ko [FSLUR_18] likh diya aur tag bhi kia.,MGY,STRONG
X0268,PR me comments resolve kar do.,NOT,NOT
X0415,mahila ko [FSLUR_16] bol diya.,MGY,STRONG
X0125,Weather aaj badhiya tha.,NOT,NOT
X0139,Kal standup kitne baje hai?,NOT,NOT
X0239,Kal standup kitne baje hai?,NOT,NOT
